Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Gradient Boosting,0.8557425742574257,0.8616908383445349,0.6956025128498001,0.7697898562174119,0.9287914159474799
Random Forest,0.8537623762376237,0.7529352985261054,0.8606510565391206,0.8031978680879414,0.9262653618968695
Decision Tree,0.8524752475247525,0.7503733200597312,0.8609366076527698,0.8018617021276596,0.9218849567449354
Logistic Regression,0.8086138613861387,0.7536372453928225,0.665619645916619,0.7068991660348749,0.878150778258784
